Yetki,Bölge,Yapılı,Eşyalı,Fiyat,Bölüm,m2,KatSayısı
1,Söğütözü,0,0,10500,1,215.0,30.0
1,Söğütözü,0,0,44450,4,625.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,8100,1,165.0,32.0
1,Söğütözü,0,0,11400,1,190.0,32.0
1,Söğütözü,0,0,11750,1,194.0,32.0
0,Söğütözü,0,0,7500,7,168.0,22.0
1,Söğütözü,0,0,15900,1,330.0,32.0
1,Söğütözü,0,0,44450,4,625.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,9200,1,160.0,32.0
1,Söğütözü,0,0,7950,1,165.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,9500,1,165.0,32.0
0,Söğütözü,0,0,11750,1,190.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,8000,1,160.0,32.0
1,Söğütözü,0,0,7750,1,160.0,32.0
1,Söğütözü,0,0,11750,1,194.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
0,Söğütözü,0,0,5000,4,112.0,27.0
1,Söğütözü,0,0,4850,3,112.0,27.0
0,Söğütözü,0,0,3300,1,84.0,27.0
1,Söğütözü,0,0,7950,1,165.0,32.0
1,Söğütözü,0,0,11400,1,190.0,32.0
1,Söğütözü,1,1,4000,3,60.0,33.0
1,Söğütözü,0,0,9200,1,160.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,8500,3,165.0,32.0
0,Söğütözü,0,0,2800,3,84.0,27.0
1,Söğütözü,0,0,7950,1,165.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
1,Söğütözü,0,0,11200,1,169.0,32.0
1,Söğütözü,0,0,16100,2,325.0,32.0
1,Söğütözü,0,0,8000,1,160.0,32.0
1,Söğütözü,0,0,11400,1,190.0,32.0
1,Söğütözü,0,0,12000,5,196.0,32.0
1,Söğütözü,0,0,7950,1,165.0,32.0
0,Söğütözü,0,0,8000,1,160.0,32.0
1,Söğütözü,0,0,11750,1,194.0,32.0
1,Söğütözü,0,0,11800,1,196.0,32.0
0,Söğütözü,0,0,8000,4,210.0,21.0
1,Söğütözü,0,0,8000,1,160.0,33.0
1,Söğütözü,0,0,7750,1,160.0,33.0
1,Söğütözü,0,0,8100,1,220.0,33.0
1,Söğütözü,0,0,9550,1,160.0,33.0
